event_id,magnitude,depth_km,latitude,longitude,cdi,mmi,sig,nst,dmin,gap,tsunami_flag,year,month
eq_2022_11_0,7,14,-9.7963,159.596,8,7,768,117,0.509,17,1,2022,11
eq_2022_11_1,6.9,25,-4.9559,100.738,4,4,735,99,2.229,34,0,2022,11
eq_2022_11_2,7,579,-20.0508,-178.346,3,3,755,147,3.125,18,1,2022,11
eq_2022_11_3,7.3,37,-19.2918,-172.129,5,5,833,149,1.865,21,1,2022,11
eq_2022_11_4,6.6,624.464,-25.5948,178.278,0,2,670,131,4.998,27,1,2022,11
eq_2022_11_5,7,660,-26.0442,178.381,4,3,755,142,4.578,26,1,2022,11
eq_2022_11_6,6.8,630.379,-25.9678,178.363,1,3,711,136,4.678,22,1,2022,11
eq_2022_10_7,6.7,20,7.6712,-82.3396,7,6,797,145,1.151,37,1,2022,10
eq_2022_9_8,6.8,20,18.33,-102.913,8,7,1179,175,2.137,92,1,2022,9
eq_2022_9_9,7.6,26.943,18.3667,-103.252,9,8,1799,271,1.153,69,1,2022,9
eq_2022_9_10,6.9,10,23.1444,121.307,9,9,887,215,0.401,34,1,2022,9
eq_2022_9_11,6.5,10,23.029,121.348,7,7,756,178,0.43,54,1,2022,9
eq_2022_9_12,7,137,-21.2077,170.239,7,5,761,192,2.977,45,1,2022,9
eq_2022_9_13,7.6,116,-6.2237,146.471,8,8,965,272,3.158,12,1,2022,9
eq_2022_9_14,6.6,12,29.7263,102.279,9,8,1043,141,8.454,34,0,2022,9
eq_2022_8_15,6.6,30,-32.6922,-178.959,7,6,672,68,5.293,34,1,2022,8
eq_2022_7_16,7,33.729,17.5978,120.809,9,8,1351,152,5.276,22,1,2022,7
eq_2022_6_17,6.5,622.73,-9.0618,-71.1647,3,2,653,236,1.999,31,0,2022,6
eq_2022_5_18,7.2,236,-14.8628,-70.3081,7,5,876,144,2.494,40,1,2022,5
eq_2022_5_19,6.9,10,-54.1325,159.027,2,5,733,127,0.371,45,1,2022,5
eq_2022_5_20,6.8,220,-23.6141,-66.7236,6,5,762,162,1.505,30,1,2022,5
eq_2022_4_21,6.6,27,11.5538,-86.9919,6,5,762,0,0.914,94,1,2022,4
eq_2022_3_22,7,10,-22.5732,170.349,6,4,763,0,2.705,26,1,2022,3
eq_2022_3_23,6.9,10,-22.72,170.277,6,4,738,0,2.697,42,1,2022,3
eq_2022_3_24,6.7,24,23.3421,121.636,8,7,806,0,0.289,32,1,2022,3
eq_2022_3_25,7.3,41,37.7015,141.587,9,8,2397,0,2.936,29,1,2022,3
eq_2022_3_26,6.7,28,-0.6831,98.6034,9,6,708,0,2.188,43,0,2022,3
eq_2022_3_27,6.6,24,-30.0528,-177.74,2,7,670,0,0.827,46,1,2022,3
eq_2022_2_28,6.8,535,-23.7852,-179.968,2,3,712,0,5.78,12,1,2022,2
eq_2022_2_29,6.5,110,-4.455,-76.9395,8,6,690,0,3.026,22,0,2022,2
eq_2022_1_30,6.5,8,-29.535,-176.729,7,4,651,0,1.088,57,1,2022,1
eq_2022_1_31,6.6,33,-6.9291,105.251,8,6,785,0,2.418,22,0,2022,1
eq_2022_1_32,6.5,37,52.502,-168.08,0,3,650,97,1.61607,108,1,2022,1
eq_2022_1_33,6.5,37,52.502,-168.08,0,3,650,23,0,208.8,1,2022,1
eq_2022_1_34,6.6,19,52.6252,-168.15,8,5,674,0,0.507,49,1,2022,1
eq_2022_1_35,6.7,33,52.48,-167.736,0,4,691,50,0.936943,126,1,2022,1
eq_2022_1_36,6.7,33,52.48,-167.736,0,4,691,20,0,205.2,1,2022,1
eq_2022_1_37,6.8,20,52.6563,-167.917,7,6,730,0,0.92,61,1,2022,1
eq_2022_1_38,6.6,21,35.1456,31.9095,6,6,976,0,1.168,21,0,2022,1
eq_2022_1_39,6.6,13,37.8167,101.299,9,8,1012,0,2.685,13,0,2022,1
eq_2021_12_40,7.3,165.49,-7.5924,127.581,8,7,921,0,3.713,19,0,2021,12
eq_2021_12_41,7.3,14.27,-7.6033,122.2,9,5,854,0,1.025,32,1,2021,12
eq_2021_11_42,7.5,126,-4.4898,-76.8461,8,8,1094,0,4.951,40,1,2021,11
eq_2021_11_43,6.6,12,23.5414,126.48,7,4,688,0,3.259,15,1,2021,11
eq_2021_10_44,6.9,51.6,56.2581,-156.492,8,6,995,0,0,0,1,2021,10
eq_2021_10_45,6.9,535,-21.1704,174.54,4,3,740,0,4.778,31,1,2021,10
eq_2021_10_46,7.3,527,-21.1036,174.895,4,4,826,0,4.493,32,1,2021,10
eq_2021_9_47,6.5,21,12.1598,-87.8542,7,5,684,0,0.993,114,1,2021,9
eq_2021_9_48,7,20,16.9502,-99.7877,8,8,2504,0,0.07,43,1,2021,9
eq_2021_8_49,7.1,6,-60.3026,-24.9992,1,4,776,0,9.799,32,1,2021,8
eq_2021_8_50,6.6,7,-60.1023,-24.4608,1,3,670,0,8.865,19,1,2021,8
eq_2021_8_51,6.9,93,-14.892,167.085,8,7,741,0,0.579,54,1,2021,8
eq_2021_8_52,6.9,16.7,-58.3814,-23.3318,6,4,734,0,8.363,48,1,2021,8
eq_2021_8_53,7.2,10,18.3521,-73.4804,9,8,2331,0,1.178,23,1,2021,8
eq_2021_8_54,6.9,33.3,55.2364,-157.707,5,4,738,0,0,0,1,2021,8
eq_2021_8_55,6.9,20.74,55.2657,-157.68,5,4,738,0,1.173,36,1,2021,8
eq_2021_8_56,8.1,22.79,-58.4157,-25.3206,0,7,1009,0,7.463,78,0,2021,8
eq_2021_8_57,7.5,47.23,-57.5959,-25.1874,9,6,868,0,7.227,38,1,2021,8
eq_2021_8_58,7.1,55.14,6.4547,126.742,9,7,846,0,1.273,25,1,2021,8
eq_2021_7_59,8.2,46.66,55.4742,-157.917,8,6,1237,0,0.875,66,1,2021,7
eq_2021_7_60,8.2,35,55.3154,-157.829,8,7,1252,0,0,0,1,2021,7
eq_2021_7_61,6.7,110,13.6989,120.713,8,5,935,0,8.139,12,1,2021,7
eq_2021_7_62,6.7,10,7.5904,-82.8813,6,6,830,0,1.395,61,1,2021,7
eq_2021_6_63,6.5,25,-30.2144,-177.773,0,4,650,0,7.994,24,1,2021,6
eq_2021_5_64,6.5,10,-16.4796,-177.356,5,7,652,0,4.518,44,1,2021,5
eq_2021_5_65,7.3,10,34.5861,98.2551,9,9,1025,0,4.655,9,0,2021,5
eq_2021_5_66,6.7,11,0.1684,96.6475,8,4,698,0,1.487,37,0,2021,5
eq_2021_5_67,6.7,10,-17.2495,66.3745,9,3,694,0,10.669,45,0,2021,5
eq_2021_5_68,6.9,43,38.2296,141.665,7,6,919,0,2.619,35,1,2021,5
eq_2021_4_69,6.5,246,-21.6857,-177.064,4,4,651,0,5.931,20,0,2021,4
eq_2021_4_70,6.5,301,-18.9204,-176.235,6,4,652,0,10.405,19,0,2021,4
eq_2021_3_71,7,43,38.4752,141.607,7,7,1052,0,2.378,35,1,2021,3
eq_2021_3_72,6.6,13.23,54.7018,163.208,5,5,672,0,3.183,18,1,2021,3
eq_2021_3_73,6.5,24,-28.4792,-176.619,0,4,650,0,11.764,25,0,2021,3
eq_2021_3_74,8.1,28.93,-29.7466,-177.224,9,8,1021,0,0.739,21,1,2021,3
eq_2021_3_75,7.4,43,-29.6131,-177.842,3,7,843,0,0.437,30,1,2021,3
eq_2021_3_76,7.3,10,-37.596,179.544,7,6,932,0,0.918,24,1,2021,3
eq_2021_2_77,7.1,43.98,37.6856,141.992,9,8,1612,0,3.085,11,1,2021,2
eq_2021_2_78,7.7,10,-23.2787,171.489,9,4,918,0,7.989,15,1,2021,2
eq_2021_1_79,6.9,15,-61.8484,-55.559,9,5,739,0,1.55,16,1,2021,1
eq_2021_1_80,7,80,5.0074,127.517,7,5,802,0,2.821,15,1,2021,1
eq_2021_1_81,6.7,10,51.2407,100.443,8,8,776,0,2.043,22,0,2021,1
eq_2020_12_82,6.7,10,-39.3264,-74.9067,5,5,776,0,1.319,19,1,2020,12
eq_2020_10_83,7,21,37.8973,26.7953,8,7,1527,0,1.518,18,0,2020,10
eq_2020_10_84,7.6,28.37,54.662,-159.675,9,7,1165,0,0.23,36,1,2020,10
eq_2020_9_85,6.9,10,0.9604,-26.8332,0,3,732,0,11.255,16,1,2020,9
eq_2020_9_86,6.5,16,-27.9285,-71.3937,6,6,674,0,0.388,49,0,2020,9
eq_2020_9_87,6.8,21,-28.013,-71.1958,6,7,824,0,0.312,69,1,2020,9
eq_2020_8_88,6.5,10,0.8696,-29.7046,4,5,651,0,15.394,31,0,2020,8
eq_2020_8_89,6.9,624,-6.6704,123.493,4,3,749,0,2.267,20,0,2020,8
eq_2020_8_90,6.9,26,-4.2791,101.215,4,4,735,0,1.716,25,0,2020,8
eq_2020_8_91,6.8,22,-4.3724,101.095,5,4,716,0,1.816,34,0,2020,8
eq_2020_8_92,6.6,10,12.0065,124.13,9,8,784,0,5.128,14,1,2020,8
eq_2020_7_93,7.8,28,55.1079,-158.477,9,7,1111,0,0.621,60,1,2020,7
eq_2020_7_94,7,73,-7.847,147.755,6,7,820,0,1.671,18,1,2020,7
eq_2020_7_95,6.6,533.76,-5.6368,110.678,4,2,684,0,1.458,14,0,2020,7
eq_2020_6_96,7.4,20,15.9163,-95.9533,8,8,1494,0,0.151,30,1,2020,6
eq_2020_6_97,7.4,10,-33.2938,-177.838,7,7,873,0,4.035,23,1,2020,6
eq_2020_6_98,6.6,165,28.9386,128.262,5,4,734,0,2.015,18,1,2020,6
eq_2020_6_99,6.8,112,-23.2966,-68.4204,6,6,835,0,1.164,21,1,2020,6
eq_2020_5_100,6.5,2.7,38.1689,-117.85,7,8,1320,27,0.357,55.79,0,2020,5
eq_2020_5_101,6.6,107,-12.0662,166.648,4,6,671,0,3.403,12,1,2020,5
eq_2020_5_102,6.8,96,-6.7762,129.785,4,6,738,0,1.921,16,0,2020,5
eq_2020_5_103,6.5,10,34.1818,25.7101,7,6,678,0,1.293,19,0,2020,5
eq_2020_3_104,6.5,12.06,44.4646,-115.118,8,8,1410,0,0.885,31,0,2020,3
eq_2020_3_105,7.5,57.8,48.9638,157.695,6,5,879,0,4.109,12,1,2020,3
eq_2020_2_106,7,143,45.6161,148.959,5,6,770,0,4.501,25,1,2020,2
eq_2020_1_107,7.7,14.86,19.4193,-78.756,9,6,1812,0,1.657,26,1,2020,1
eq_2020_1_108,6.7,10,38.4312,39.0609,8,9,1247,0,0.87,49,0,2020,1
eq_2019_12_109,6.8,18,6.6969,125.174,9,7,825,0,0.546,39,1,2019,12
eq_2019_11_110,7.1,33,1.6213,126.416,6,6,799,0,1.271,11,1,2019,11
eq_2019_11_111,6.5,577,-21.9449,-179.511,0,2,650,0,4.765,25,0,2019,11
eq_2019_11_112,6.6,10,-18.5747,-175.272,4,4,673,0,5.086,48,1,2019,11
eq_2019_10_113,6.5,10,6.9098,125.178,9,7,733,0,0.428,19,1,2019,10
eq_2019_10_114,6.6,15,6.7567,125.008,9,7,780,0,0.646,24,1,2019,10
eq_2019_9_115,6.7,11,-35.4758,-73.163,7,6,844,0,1.269,98,1,2019,9
eq_2019_9_116,6.5,12.26,-3.4528,128.37,7,7,656,0,3.909,15,1,2019,9
eq_2019_9_117,6.6,591,-20.3641,-178.57,2,3,671,0,4.121,19,1,2019,9
eq_2019_8_118,6.6,16,-60.2152,-26.5801,0,4,670,0,12.896,19,1,2019,8
eq_2019_8_119,6.9,49,-7.2822,104.791,4,6,875,0,2.839,23,0,2019,8
eq_2019_8_120,6.8,25,-34.2364,-72.3102,6,6,947,0,0.817,35,1,2019,8
eq_2019_7_121,6.6,181,-16.1985,167.998,0,4,670,0,6.024,30,1,2019,7
eq_2019_7_122,7.2,18.98,-0.5858,128.034,7,7,809,0,1.504,38,1,2019,7
eq_2019_7_123,6.6,10,-18.2242,120.358,5,5,791,0,2.978,32,0,2019,7
eq_2019_7_124,6.9,35,0.5126,126.189,7,5,747,0,1.205,21,0,2019,7
eq_2019_7_125,7.1,8,35.7695,-117.599,9,9,1646,77,0.04616,43,0,2019,7
eq_2019_6_126,7.3,212,-6.4078,129.169,4,6,952,0,2.629,16,1,2019,6
