plant,country,reactors,latitude,longitude
AGESTA,SWEDEN,1,59.206022,18.082872
ALMARAZ,SPAIN,2,39.8081,-5.69694
ANGRA,BRAZIL,3,-23.007857,-44.458098
ARKANSAS ONE,UNITED STATES OF AMERICA,2,35.31032,-93.231289
ASCO,SPAIN,2,41.2,0.56667
ATUCHA,ARGENTINA,2,-33.968002,-59.20374
AVR,GERMANY,1,50.903056,6.421111
BALAKOVO,RUSSIAN FEDERATION,4,52.092935,47.956762
BARSEBACK,SWEDEN,2,55.744444,12.920833
BEAVER VALLEY,UNITED STATES OF AMERICA,2,40.6219,-80.4339
BELENE,BULGARIA,2,43.62944,25.189345
BELLEVILLE,FRANCE,2,47.5075,2.8775
BELOYARSKY,RUSSIAN FEDERATION,4,56.85,61.3167
BERKELEY,UNITED KINGDOM,2,51.6925,-2.493611
BEZNAU,SWITZERLAND,2,47.552148,8.228175
BIBLIS,GERMANY,2,49.709305,8.414744
BIG ROCK POINT,UNITED STATES OF AMERICA,1,45.358889,-85.197222
BILIBINO,RUSSIAN FEDERATION,4,68.050658,166.539698
BLAYAIS,FRANCE,4,45.255907,-0.691883
BN-350,KAZAKHSTAN,1,43.607,51.283
BOHUNICE,SLOVAK REPUBLIC,5,48.494444,17.681944
BONUS,UNITED STATES OF AMERICA,1,18.366389,-67.268611
BORSSELE,NETHERLANDS,1,51.431623,3.717595
BRADWELL,UNITED KINGDOM,2,51.741389,0.896944
BRAIDWOOD,UNITED STATES OF AMERICA,2,41.2436,-88.2289
BRENNILIS,FRANCE,1,48.3533,-3.872203
BROKDORF (KBR),GERMANY,1,53.850833,9.344722
BROWNS FERRY,UNITED STATES OF AMERICA,3,34.7042,-87.1186
BRUCE,CANADA,8,44.326136,-81.594719
BRUNSBUETTEL,GERMANY,1,53.891667,9.201667
BRUNSWICK,UNITED STATES OF AMERICA,2,33.9583,-78.0106
BUGEY,FRANCE,5,45.7956,5.27
BUSHEHR,"IRAN, ISLAMIC REPUBLIC OF",1,28.828851,50.892757
BYRON,UNITED STATES OF AMERICA,2,42.075,-89.2819
