index_no,port_name,country,latitude,longitude
61090,SHAKOTAN,RU,43.866667,146.833333
61110,MOMBETSU KO,JP,44.35,143.35
5750,CHARLOTTETOWN,CA,46.233333,-63.133333
61120,ABASHIRI KO,JP,44.016667,144.283333
61130,NEMURO KO,JP,43.333333,145.583333
61140,HANASAKI KO,JP,43.283333,145.583333
61160,KUSHIRO KO,JP,42.983333,144.366667
61165,TOMAKOMAI KO,JP,42.633333,141.633333
61170,MURORAN KO,JP,42.35,140.966667
61180,MORI,JP,42.116667,140.583333
49500,GOPALPUR,IN,19.25,84.916667
47990,EL GHARDAQA,EG,27.216667,33.85
48015,RAS SHUKHIER,EG,28.133333,33.283333
48020,RAS GHARIB,EG,28.35,33.1
48040,AS SUWAYS,EG,29.966667,32.55
48045,EL-ADABIYA,EG,29.866667,32.466667
48050,EL ISMAILIYA,EG,30.583333,32.283333
48060,RAS ABU ZANIMAH,EG,29.033333,33.116667
48065,WADI FEIRAN,EG,28.75,33.2
48076,ELAT,IL,29.55,34.95
48090,AL AQABAH,JO,29.516667,35
48120,YANBU,SA,24.083333,38.05
48140,JIDDAH,SA,21.483333,39.183333
48142,JIZAN,SA,16.9,42.483333
46780,SIMONSTOWN,ZA,-34.183333,18.433333
46800,MOSSEL BAY,ZA,-34.183333,22.15
46820,PORT ELIZABETH,ZA,-33.966667,25.616667
33770,BELFAST,GB,54.616667,-5.9
33790,LARNE,GB,54.85,-5.8
33820,COLERAINE,GB,55.133333,-6.666667
33830,LONDONDERRY,GB,55,-7.316667
33060,ORNSAY,GB,57.15,-5.8
32290,BUCKIE HARBOR,GB,57.683333,-2.966667
32300,LOSSIEMOUTH,GB,57.716667,-3.283333
32320,BURGHEAD,GB,57.7,-3.5
32330,INVERNESS,GB,57.483333,-4.233333
32340,CROMARTY,GB,57.683333,-4.033333
32350,INVERGORDON,GB,57.683333,-4.166667
32360,PORTMAHOMACK HARBOR,GB,57.833333,-3.833333
32370,HELMSDALE HARBOR,GB,58.116667,-3.65
32380,WICK,GB,58.433333,-3.083333
32410,PIEROWALL,GB,59.3,-2.983333
32420,KETTLETOFT,GB,59.233333,-2.6
32430,WHITEHALL,GB,59.133333,-2.6
32440,KIRKWALL,GB,58.983333,-2.966667
32450,STROMNESS,GB,58.966667,-3.3
32460,SOUTH NESS,GB,58.8,-3.2
32470,ST MARGARETS HOPE,GB,58.833333,-2.95
32490,LYNESS,GB,58.833333,-3.2
32500,SCAPA BAY,GB,58.95,-2.983333
4800,CHICAGO,US,41.883333,-87.6
4810,WILMETTE,US,42.083333,-87.683333
4820,GREAT LAKES,US,42.3,-87.833333
4830,WAUKEGAN,US,42.366667,-87.816667
4840,KENOSHA,US,42.583333,-87.816667
4850,RACINE,US,42.733333,-87.783333
4860,MILWAUKEE,US,43.033333,-87.883333
4870,PORT WASHINGTON,US,43.383333,-87.866667
4880,SHEBOYGAN,US,43.75,-87.7
4890,MANITOWOC,US,44.1,-87.65
4380,PORT HOPE,US,43.95,-82.7
4400,BAY CITY,US,43.6,-83.866667
3700,SARNIA,CA,42.983333,-82.416667
3710,POINT EDWARD,CA,43,-82.416667
3730,GODERICH,CA,43.75,-81.733333
3750,PORT ELGIN,CA,44.433333,-81.4
3760,SOUTHAMPTON,CA,44.5,-81.383333
3770,TOBERMORY,CA,45.266667,-81.666667
3790,LIONS HEAD,CA,44.983333,-81.25
3810,WIARTON,CA,44.75,-81.133333
3860,OWEN SOUND,CA,44.583333,-80.933333
3880,MEAFORD,CA,44.616667,-80.6
3890,THORNBURY,CA,44.566667,-80.45
3900,COLLINGWOOD,CA,44.5,-80.233333
3930,PENETANGUISHENE,CA,44.766667,-79.933333
3940,MIDLAND,CA,44.75,-79.916667
